OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
31223,0130579,5,81,96, , , , , , , ,0.5,7.7,0.5, ,18, , , , , , , , , 
31224,0130579,6,96,112, , , , , , , ,0.5,9.7,0.5, ,19.2, , , , , , , , , 
31225,0130580,1,0,10,0.75, , , , , , ,0.2,0.6, , ,8.2, , , , , ,0.084, , , 
31226,0130580,2,10,35,0.22, , , , , , ,0.3,0.3, , ,5.5, , , , , ,0.03, , , 
31227,0130580,3,35,60,0.23, , , , , , ,0.2,0.8, , ,6, , , , , ,0.023, , , 
31228,0130580,4,60,90,0.24, , , , , , ,0.2,0.9, , ,6.1, , , , , ,0.021, , , 
31229,0130580,5,90,120, , , , , , , ,0.2,1.1, , ,6.4, , , , , , , , , 
31230,0130580,6,120,150, , , , , , , ,0.1,0.7,0.1, ,5.1, , , , , , , , , 
31231,0130580,7,150,180, , , , , , , ,0.1,0.6,0.1, ,4.5, , , , , , , , , 
31232,0130580,8,180,210, , , , , , , ,0.1,0.7,0.1, ,5, , , , , , , , , 
31233,0130583,1,0,4,7.99, , , , ,26.3,10.3,0.7,4.3,0.1, ,40.1, , , , , ,0.47, , , 
31234,0130583,2,4,10,0.92, , , , ,7.5,2.8,0.4,2.3,0.1, ,11.9, , , , , ,0.09, , , 
31235,0130583,3,10,18,0.56, , , , ,8.4,2.5,0.4,3.9,0.1, ,14, , , , , ,0.06, , , 
31236,0130583,4,18,30,0.8, , , , ,25.3,5.8,1,14.2,0.2, ,42, , , , , ,0.09, , , 
31237,0130583,5,30,50, , , , , ,25.1,1.9,0.7,12.2,0.2, ,38, , , , , , , , , 
31238,0130583,6,50,60, , , , , ,42.3, ,0.5,8.9,0.2, ,28.9, , , , , , , , , 
31239,0130583,7,60,78, , , , , ,41.4, ,0.4,7.7,0.3, ,25.3, , , , , , , , , 
31240,0130584,1,0,15,3.54, , , , , , ,0.5,11.1,0.2, ,31.2, , , , , , , , , 
31241,0130584,2,15,35, , , , , , , ,0.3,16.2,1.1, ,27.1, , , , , , , , , 
31242,0130584,3,35,120, , , , , , , ,0.7,20.8,3.5, ,29, , , , , , , , , 
31243,0130585,1,0,16,1.74, , , , , , ,0.4,1.5, , ,12.9, , , , , ,0.151, , , 
31244,0130585,2,16,43,0.3, , , , , , ,0.4,0.6, , ,5.5, , , , , ,0.031, , , 
31245,0130585,3,43,63,0.2, , , , , , ,0.3,0.8, , ,6.2, , , , , ,0.018, , , 
31246,0130585,4,63,93,0.19, , , , , , ,0.2,0.9,0.1, ,5.6, , , , , ,0.015, , , 
31247,0130585,5,93,123,0.13, , , , , , ,0.1,0.9, , ,5.1, , , , , ,0.014, , , 
31248,0130585,6,123,170,0.09, , , , , , ,0.1,0.6, , ,2.9, , , , , ,0.008, , , 
31249,0130586,1,0,10,1.52, , , , ,19.6, ,0.6,18,1.5, ,14, , , , , ,0.16, , , 
31250,0130586,2,10,15,1.34, , , , ,41, ,0.9,31.5,5.6, ,16.6, , , , , ,0.14, , , 
31251,0130586,3,15,28,1.37, , , , ,47, ,1.1,49.8,11.1, ,10, , , , , ,0.11, , , 
31252,0130586,4,28,41, , , , , ,61.9, ,1.2,43,14.5, ,2.4, , , , , , , , , 
31253,0130586,5,41,66, , , , , ,42, ,0.6,17.5,9.8, ,1.8, , , , , , , , , 
31254,0130587,1,0,16,1.52, , , , , , ,0.5,1.8,0.1, ,12.7, , , , , ,0.133, , , 
31255,0130587,2,16,30,0.43, , , , , , ,0.3,1.4, , ,7.5, , , , , ,0.049, , , 
31256,0130587,3,30,44,0.29, , , , , , ,0.8,4.4, , ,17.8, , , , , ,0.049, , , 
31257,0130587,4,44,70,0.17, , , , , , ,0.6,3.2, , ,12.4, , , , , ,0.027, , , 
31258,0130587,5,70,95,0.34, , , , , , ,0.4,3.3, , ,9.4, , , , , ,0.027, , , 
31259,0130587,6,95,125,0.3, , , , , , ,0.3,3.6, , ,9.4, , , , , ,0.025, , , 
31260,0130587,7,125,145,0.06, , , , , , ,0.1,1.2, , ,2.9, , , , , ,0.026, , , 
31261,0130587,8,145,190,0.2, , , , , , ,0.4,5.5, , ,10.6, , , , , , , , , 
31262,0130588,1,0,5,4.4, , , , ,12.6,8.9,0.2,3,0.1, ,22.9, , , , , ,0.29, , , 
31263,0130588,2,5,11,0.76, , , , ,5.5,3.8,0.1,2.2,0.1, ,9.3, , , , , ,0.06, , , 
31264,0130588,3,11,18,0.36, , , , ,4.5,3.3,0.1,1.4,0.1, ,8.2, , , , , ,0.03, , , 
31265,0130588,4,18,34,0.49, , , , ,9.5,4.5,0.3,4.2,0.1, ,16.9, , , , , ,0.04, , , 
31266,0130588,5,34,60, , , , , ,16.6,4.2,0.4,7.8,0.2, ,25.9, , , , , , , , , 
31267,0130588,6,60,70, , , , , ,34.2,0.4,0.3,4.7,0.2, ,16.1, , , , , , , , , 
31268,0130588,7,70,83, , , , , ,37,0.1,0.3,4,0.2, ,16.1, , , , , , , , , 
31269,0130588,8,83,, , , , , ,35.7, ,0.2,3.8,0.2, ,15.1, , , , , , , , , 
31270,0130589,1,0,25,1.7, , , , , , ,0.4,1.6,0.1, ,19.5, , , , , ,0.159, , , 
31271,0130589,2,25,41,0.63, , , , , , ,0.4,1.6, , ,14, , , , , ,0.065, , , 
31272,0130589,3,41,61,0.51, , , , , , ,0.6,3.7, , ,21.6, , , , , ,0.056, , , 
31273,0130589,4,61,78,0.46, , , , , , ,0.5,3.2, , ,20, , , , , ,0.058, , , 
31274,0130589,5,78,106,0.44, , , , , , ,0.3,2.9,0.1, ,14, , , , , ,0.05, , , 
31275,0130589,6,106,138,0.36, , , , , , ,0.3,2.6, , ,12.4, , , , , ,0.028, , , 
31276,0130589,7,138,168,0.16, , , , , , ,0.3,4.9,0.1, ,14.2, , , , , ,0.022, , , 
31277,0130589,8,168,190,0.22, , , , , , ,0.3,6.9,0.2, ,15.5, , , , , ,0.026, , , 
31278,0130589,9,190,215, , , , , , , ,0.5,10.7,0.1, ,18.3, , , , , , , , , 
31279,0130590,1,0,16,1.62, , , , , , ,0.4,1.5, , ,16.3, , , , , ,0.146, , , 
31280,0130590,2,16,36,0.43, , , , , , ,0.3,1.2, , ,10.6, , , , , ,0.048, , , 
31281,0130590,3,36,56,0.17, , , , , , ,0.5,1.3, , ,8.4, , , , , ,0.032, , , 
31282,0130590,4,56,75,0.17, , , , , , ,0.3,1.2, , ,8.1, , , , , ,0.034, , , 
31283,0130590,5,75,88,0.21, , , , , , ,0.2,1.2, , ,9.4, , , , , ,0.057, , , 
31284,0130590,6,88,115,0.03, , , , , , ,0.2,0.3, , ,3.4, , , , , ,0.014, , , 
31285,0130590,7,115,149,0.07, , , , , , ,0.1,0.2, , ,2.8, , , , , ,0.018, , , 
31286,0130591,1,0,11,3.38, , , , ,34.5,2,0.9,8.3,0.2, ,48.2, , , , , ,0.29, , , 
31287,0130591,2,11,24,1.22, , , , ,27.2,1.8,0.9,15.8,0.3, ,44.7, , , , , ,0.13, , , 
31288,0130591,3,24,45,0.9, , , , ,30.4,0.1,0.7,19,0.4, ,39.1, , , , , ,0.1, , , 
31289,0130591,4,45,65, , , , , ,28.9, ,0.7,22.8,0.5, ,37.6, , , , , , , , , 
31290,0130591,5,65,85, , , , , ,61.3, ,0.8,26,0.7, , , , , , , , , , , 
31291,0130591,6,85,105, , , , , ,49.7, ,0.8,27.4,0.7, , , , , , , , , , , 
31292,0130591,7,105,125, , , , , ,38.4, ,0.8,25.4,0.6, , , , , , , , , , , 
31293,0130591,8,125,143, , , , , ,46.3,0.2,0.8,25.3,0.7, , , , , , , , , , , 
31294,0130591,9,143,160, , , , , ,48.9,0.5,1,27.1,0.7, , , , , , , , , , , 
31295,0130594,1,0,5,5.45, , , , ,16.5, ,1.3,2.8,0.3, ,32, , , , , ,0.42, , , 
31296,0130594,2,5,15,0.84, , , , ,8.1, ,0.5,2,0.3, ,12.4, , , , , ,0.1, , , 
31297,0130594,3,15,38,0.57, , , , ,13.8, ,0.7,4.9,0.2, ,19.6, , , , , ,0.08, , , 
31298,0130594,4,38,53, , , , , ,7.1, ,0.3,2.6,0.2, ,9.9, , , , , , , , , 
31299,0130594,5,53,79, , , , , , , ,0.3,3.2,0.2, ,9.7, , , , , , , , , 
31300,0130594,6,79,96, , , , , , , ,0.4,4.2,0.3, ,12.9, , , , , , , , , 
31301,0130596,1,0,15,1.88, , , , , , ,1.1,6.8,0.1, ,33, , , , , ,0.35, , , 
31302,0130596,10,235,264, , , , , , , ,1.4,14.6,1, ,28.5, , , , , , , , , 
31303,0130596,2,15,27,0.79, , , , , , ,0.5,7.1,0.1, ,21, , , , , ,0.078, , , 
31304,0130596,3,27,56,0.55, , , , , , ,0.8,15.5,0.4, ,34.5, , , , , ,0.441, , , 
31305,0130596,4,56,85,0.74, , , , , , ,0.7,15.7,0.8, ,33.8, , , , , ,0.072, , , 
31306,0130596,5,85,118,0.29, , , , , , ,0.6,14.8,0.9, ,29.6, , , , , ,0.063, , , 
31307,0130596,6,118,148,0.54, , , , , , ,0.8,14.7,0.9, ,27.6, , , , , ,0.058, , , 
31308,0130596,7,148,177,0.72, , , , , , ,1,14.9,0.9, ,29.9, , , , , ,0.071, , , 
31309,0130596,8,177,206,0.48, , , , , , ,0.9,14,0.8, ,29, , , , , ,0.069, , , 
31310,0130596,9,206,235,3.49, , , , , , ,1,14,0.8, ,29.3, , , , , , , , , 
31311,0130597,1,0,9,4.43, , , , , ,37.6,2.6,10.5,0.1, ,37.6, , , , , , , , , 
31312,0130597,2,9,21,2.85, , , , , ,34.9,1.3,10.9,0.1, ,34.9, , , , , , , , , 
31313,0130597,3,21,56,0.39, , , , , ,27.9,1,12.9,0.2, ,27.9, , , , , , , , , 
31314,0130597,4,56,93,0.36, , , , , ,33.1,1.4,15.8,0.4, ,33.1, , , , , , , , , 
31315,0130597,5,93,100,0.53, , , , , ,24.1,1.2,12.2,0.4, ,24.1, , , , , , , , , 
31316,0130598,1,0,15,4.76, , , , , , ,0.9,9.5,0.2, ,41.1, , , , , ,0.447, , , 
31317,0130598,2,15,30,2.32, , , , , , ,0.5,8.8,0.2, ,36, , , , , ,0.207, , , 
31318,0130598,3,30,45,1.32, , , , , , ,0.6,7.9,0.2, ,31.1, , , , , ,0.102, , , 
31319,0130598,4,45,68,0.83, , , , , , ,0.6,9.4,0.3, ,29.3, , , , , ,0.084, , , 
31320,0130598,5,68,98,0.79, , , , , , ,0.7,12.6,0.6, ,31.6, , , , , ,0.052, , , 
31321,0130598,6,98,128,0.84, , , , , , ,0.8,13.4,0.6, ,31, , , , , ,0.063, , , 
31322,0130598,7,128,163, , , , , , , ,1.1,12,0.6, ,32.7, , , , , , , , , 
31323,0130598,8,163,196, , , , , , , ,1.2,12,0.7, ,31.4, , , , , , , , , 
31324,0130598,9,196,278, , , , , , , ,1.2,11.3,0.5, ,30, , , , , , , , , 
31325,0130599,1,0,19,1.03, , , , , , ,0.5,1.4, , ,12.1, , , , , ,0.095, , , 
31326,0130599,2,19,38,0.77, , , , , , ,0.3,1, , ,12.2, , , , , ,0.087, , , 
31327,0130599,3,38,64,0.52, , , , , , ,0.3,0.8, , ,7.8, , , , , ,0.038, , , 
31328,0130599,4,64,94,0.64, , , , , , ,0.4,1.5,0.1, ,9.4, , , , , ,0.03, , , 
31329,0130599,5,94,130,0.25, , , , , , ,0.5,3.1,0.1, ,13.6, , , , , ,0.032, , , 
31330,0130599,6,130,161,1, , , , , , ,0.4,3.5,0.1, ,15.1, , , , , , , , , 
31331,0130599,7,161,191, , , , , , , ,0.9,10.7,0.2, ,32.9, , , , , , , , , 
31332,0130599,8,191,240, , , , , , , ,0.9,12.4,0.2, ,32.3, , , , , , , , , 
31333,0130601,1,0,18,3.63, , , , , , ,0.9,6,0.1, ,39, , , , , ,0.315, , , 
31334,0130601,10,250,290,0.73, , , , , , ,0.7,13.5,0.5, ,29.2, , , , , , , , , 
31335,0130601,2,18,41,1.12, , , , , , ,0.5,6.9,0.1, ,25.5, , , , , ,0.107, , , 
31336,0130601,3,41,64,0.52, , , , , , ,0.5,7.3,0.2, ,23.9, , , , , ,0.061, , , 
31337,0130601,4,64,94, , , , , , , ,0.3,5.7,0.2, ,16, , , , , ,0.045, , , 
31338,0130601,5,94,125, , , , , , , ,0.3,5.2,0.2, ,14.1, , , , , ,0.031, , , 
31339,0130601,6,125,160, , , , , , , ,0.4,8.4,0.3, ,20.4, , , , , ,0.035, , , 
31340,0130601,7,160,190, , , , , , , ,0.5,10.7,0.4, ,23.3, , , , , , , , , 
31341,0130601,8,190,220,0.15, , , , , , ,0.5,10.7,0.4, ,24, , , , , , , , , 
31342,0130601,9,220,250, , , , , , , ,0.6,11.2,0.5, ,26.7, , , , , , , , , 
31343,0130602,1,0,10,6.83, , , , , , ,0.9,13.9,0.4, ,45.1, , , , , ,0.618, , , 
31344,0130602,2,10,34,3.67, , , , , , ,0.4,19.3,0.5, ,41.5, , , , , ,0.391, , , 
31345,0130602,3,34,61,1.11, , , , , , ,0.4,15.9,1, ,25.6, , , , , ,0.113, , , 
31346,0130602,4,61,97,0.86, , , , , , ,0.6,21.3,2.2, ,32.3, , , , , ,0.082, , , 
31347,0130602,5,97,140,0.82, , , , , , ,0.8,24.1,2.6, ,36, , , , , ,0.094, , , 
31348,0130602,6,140,173,0.78, , , , , , ,1,23.8,2.4, ,33.5, , , , , ,0.052, , , 
31349,0130602,7,173,210,0.88, , , , , , ,1.3,19.5,1.9, ,35.4, , , , , ,0.072, , , 
31350,0130602,8,210,248, , , , , , , ,1.1,17.7,1.7, ,31.6, , , , , , , , , 
31351,0130602,9,248,286, , , , , , , ,1.2,18.9,1.9, ,32.6, , , , , , , , , 
31352,0130603,1,8,0,45.4, , , , ,79.5,48.1,1.5,25.6,0.1, ,163.7, , , , , ,1.71, , , 
31353,0130603,2,0,4,1.75, , , , ,8,4.9,0.4,4.2, , ,17.4, , , , , ,0.11, , , 
31354,0130603,3,4,13,2.08, , , , ,17.6,2,0.7,11.2, , ,33.4, , , , , ,0.13, , , 
31355,0130603,4,13,21,1.08, , , , ,13.6, ,0.3,7.2, , ,18.6, , , , , ,0.11, , , 
31356,0130603,5,21,43, , , , , ,22.5, ,0.2,4.9, , ,12.8, , , , , , , , , 
31357,0130603,6,43,, , , , , ,22.2, ,0.2,3.8, , ,9.7, , , , , , , , , 
31358,0130606,1,0,18,3.32, , , , ,7.6, ,1.8,1.9,0.2, ,17.9, , , , , ,0.3, , , 
31359,0130606,2,18,25,1.32, , , , ,5.4, ,0.1,1.8,0.1, ,13.5, , , , , ,0.11, , , 
31360,0130606,3,25,36,0.69, , , , ,3.5, ,0.1,1.5,0.1, ,9.2, , , , , ,0.05, , , 
31361,0130606,4,36,51, , , , , ,1.4, ,0.1,0.5,0.1, ,3.2, , , , , , , , , 
31362,0130606,5,51,66, , , , , ,1.3, ,0.1,0.4,0.1, ,2, , , , , , , , , 
31363,0130606,6,66,74, , , , , ,3, ,0.1,0.6,0.1, ,2, , , , , , , , , 
31364,0130606,7,74,89, , , , , ,5.7, ,0.1,0.5,0.1, ,2.1, , , , , , , , , 
31365,0130606,8,89,109, , , , , ,6.8, ,0.1,0.4,0.1, , , , , , , , , , , 
31366,0130607,1,0,15,6.37, , , , , , ,3.2,6.4, , ,42.5, , , , , ,0.635, , , 
31367,0130607,10,229,273, , , , , , , ,1.1,15.5,0.9, ,27.8, , , , , , , , , 
31368,0130607,2,15,30,3.28, , , , , , ,3,8.4,0.1, ,34.9, , , , , ,0.275, , , 
31369,0130607,3,30,48,0.89, , , , , , ,3.6,5.1,0.1, ,19.5, , , , , ,0.07, , , 
31370,0130607,4,48,67,0.45, , , , , , ,2.6,5.3,0.2, ,17.4, , , , , ,0.03, , , 
31371,0130607,5,67,98,0.67, , , , , , ,0.5,8.1,0.3, ,19.5, , , , , ,0.081, , , 
31372,0130607,6,98,122,0.42, , , , , , ,0.5,11.4,0.4, ,20.9, , , , , ,0.04, , , 
31373,0130607,7,122,158,0.5, , , , , , ,0.5,11.9,0.4, ,19.6, , , , , ,0.05, , , 
31374,0130607,8,158,194, , , , , , , ,0.8,16.4,0.6, ,24.2, , , , , , , , , 
31375,0130607,9,194,229, , , , , , , ,0.9,15.9,0.5, ,26.4, , , , , , , , , 
31376,0130608,1,0,17,4.6, , , , , , ,0.9,11.7,0.2, ,43.3, , , , , ,0.417, , , 
31377,0130608,10,202,232, , , , , , , ,0.8,16.1,0.7, ,23.8, , , , , , , , , 
31378,0130608,11,232,262, , , , , , , ,1,16.8,0.9, ,22.9, , , , , , , , , 
31379,0130608,12,262,292, , , , , , , ,1.1,19.3,0.9, ,29.7, , , , , , , , , 
31380,0130608,2,17,36,2.16, , , , , , ,0.6,15,0.3, ,33.4, , , , , ,0.223, , , 
31381,0130608,3,36,45,1.24, , , , , , ,0.6,16.4,0.7, ,29.1, , , , , ,0.111, , , 
31382,0130608,4,45,61,0.66, , , , , , ,0.4,14.4,0.8, ,24, , , , , ,0.081, , , 
31383,0130608,5,61,86,0.59, , , , , , ,0.5,14.3,0.9, ,22.2, , , , , ,0.091, , , 
31384,0130608,6,86,113,0.49, , , , , , ,0.6,16.7,1.1, ,24.6, , , , , ,0.06, , , 
31385,0130608,7,113,142,0.68, , , , , , ,0.7,18.2,1.2, ,26.2, , , , , ,0.04, , , 
31386,0130608,8,142,172,0.45, , , , , , ,0.8,17.7,1, ,24, , , , , ,0.03, , , 
31387,0130608,9,172,202, , , , , , , ,0.9,15.8,0.8, ,21.9, , , , , , , , , 
31388,0130609,1,0,12,2.48, , , , , , ,0.7,1.9,0.1, ,31.1, , , , , ,0.213, , , 
31389,0130609,2,12,36,0.78, , , , , , ,0.4,2, , ,18.7, , , , , ,0.068, , , 
31390,0130609,3,36,74,1.62, , , , , , ,0.2,2.4, , ,12.1, , , , , ,0.05, , , 
31391,0130609,4,74,104, , , , , , , ,0.2,3.7,0.1, ,10.5, , , , , ,0.029, , , 
31392,0130609,5,104,132, , , , , , , ,0.2,5.7,0.1, ,11.9, , , , , ,0.028, , , 
31393,0130609,6,132,164, , , , , , , ,0.3,9.3,0.1, ,13.9, , , , , ,0.025, , , 
31394,0130609,7,164,199, , , , , , , ,0.5,16.5,0.2, ,25.3, , , , , , , , , 
31395,0130609,8,199,239,0.36, , , , , , ,0.7,19.3,0.2, ,31.9, , , , , , , , , 
31396,0130609,9,239,279,0.4, , , , , , ,0.7,15.9,0.2, ,31.3, , , , , , , , , 
31397,0130610,1,0,13,2.66, , , , , , ,0.8,3, , ,27.9, , , , , ,0.235, , , 
31398,0130610,2,13,43,0.94, , , , , , ,0.4,3.6, , ,21.3, , , , , ,0.086, , , 
31399,0130610,3,43,73,0.05, , , , , , ,0.2,3.1, , ,14.3, , , , , ,0.045, , , 
31400,0130610,4,73,101,0.31, , , , , , ,0.3,4.2,0.2, ,14.3, , , , , ,0.036, , , 
31401,0130610,5,101,130,0.34, , , , , , ,0.3,4.8,0.1, ,12.4, , , , , ,0.022, , , 
31402,0130610,6,130,165,0.01, , , , , , ,0.3,5.1,0.1, ,11.5, , , , , , , , , 
31403,0130610,7,165,200,0.32, , , , , , ,0.3,6,0.1, ,13.3, , , , , , , , , 
31404,0130610,8,200,235,0.29, , , , , , ,0.3,6.7,0.1, ,13.5, , , , , , , , , 
31405,0130610,9,235,270,0.3, , , , , , ,0.3,5.2,0.2, ,10.7, , , , , , , , , 
31406,0130611,1,0, 18,1.82, , , , , , ,0.5,1.5, , ,13, , , , , ,0.159, , , 
31407,0130611,2,18, 42,0.51, , , , , , ,0.3,1.4, , ,7.8, , , , , ,0.056, , , 
31408,0130611,3,42, 63,0.16, , , , , , ,0.3,1.5,0.1, ,5.7, , , , , ,0.025, , , 
31409,0130611,4,63, 85,0.15, , , , , , ,0.4,1.3, , ,6.1, , , , , ,0.02, , , 
31410,0130611,5,85,108,0.44, , , , , , ,0.5,1.8, , ,8.3, , , , , ,0.032, , , 
31411,0130611,6,108,170,0.16, , , , , , ,0.4,1.5, , ,9, , , , , ,0.029, , , 
31412,0130611,7,170,200,0.33, , , , , , ,0.3,2.1, , ,8.1, , , , , ,0.028, , , 
31413,0130612,1,0,13,3.02, , , , , , ,0.7,5.2,0.1, ,31.2, , , , , ,0.236, , , 
31414,0130612,10,227,263, , , , , , , ,0.9,10.9,0.2, ,24.8, , , , , , , , , 
31415,0130612,11,263,279, , , , , , , ,0.6,7.9,0.3, ,18.3, , , , , , , , , 
31416,0130612,2,13,26,1.16, , , , , , ,0.6,7,0.2, ,27.2, , , , , ,0.112, , , 
31417,0130612,3,26,52,0.57, , , , , , ,0.6,9.4,0.3, ,27.7, , , , , ,0.04, , , 
31418,0130612,4,52,70,0.77, , , , , , ,0.5,11.8,0.3, ,28, , , , , ,0.072, , , 
31419,0130612,5,70,111,0.57, , , , , , ,0.5,13.6,0.3, ,25.1, , , , , ,0.041, , , 
31420,0130612,6,111,150,0.47, , , , , , ,0.4,11.6,0.2, ,19.8, , , , , ,0.04, , , 
31421,0130612,7,150,157,0.3, , , , , , ,0.4,7.7,0.3, ,14.6, , , , , ,0.02, , , 
31422,0130612,8,157,192, , , , , , , ,0.7,12.1,0.2, ,23.4, , , , , , , , , 
31423,0130612,9,192,227, , , , , , , ,0.7,10,0.2, ,21.2, , , , , , , , , 
31424,0130613,1,0,19,3.53, , , , , , ,0.7,7.4,0.1, ,38.2, , , , , ,0.324, , , 
31425,0130613,2,19,41,1.68, , , , , , ,0.4,11.3,0.1, ,29.6, , , , , ,0.14, , , 
31426,0130613,3,41,73,0.69, , , , , , ,0.3,14.8, , ,22.2, , , , , ,0.067, , , 
31427,0130613,4,73,103,0.25, , , , , , ,0.3,15.3,0.3, ,18.9, , , , , ,0.035, , , 
31428,0130613,5,103,143,0.56, , , , , , ,0.5,17.3,0.3, ,23.6, , , , , ,0.04, , , 
31429,0130613,6,143,177,0.75, , , , , , ,0.8,22.4,0.4, ,33, , , , , , , , , 
31430,0130613,7,177,215,0.88, , , , , , ,0.8,22,0.4, ,34.9, , , , , , , , , 
31431,0130613,8,215,268,0.99, , , , , , ,0.8,21.7,0.3, ,32.6, , , , , , , , , 
31432,0130614,1,0,10,0.69, , , , , , ,0.4,0.5, , ,9.3, , , , , ,0.06, , , 
31433,0130614,2,10,33,0.14, , , , , , ,0.4,2.9, , ,10.1, , , , , ,0.03, , , 
31434,0130614,3,33,80,0.14, , , , , , ,0.3,2.1, , ,9, , , , , ,0.04, , , 
31435,0130614,4,80,128,0.14, , , , , , ,0.4,2,0.2, ,8.9, , , , , ,0.03, , , 
31436,0130615,1,0,17,2.65, , , , , , ,1,3.1,0.1, ,26.1, , , , , ,0.213, , , 
31437,0130615,2,17,29,0.85, , , , , , ,0.6,3.2,0.1, ,18.6, , , , , ,0.081, , , 
31438,0130615,3,29,42,0.52, , , , , , ,0.5,3.2,0.2, ,16.2, , , , , ,0.03, , , 
31439,0130615,4,42,60,0.88, , , , , , ,0.5,5.4,0.1, ,20, , , , , ,0.081, , , 
31440,0130615,5,60,75,1.16, , , , , , ,0.4,7.7,0.3, ,20.9, , , , , ,0.061, , , 
31441,0130615,6,75,105,0.89, , , , , , ,0.4,7.8,0.2, ,18, , , , , ,0.071, , , 
31442,0130615,7,105,135,1.42, , , , , , ,0.4,10.6,0.2, ,23.7, , , , , ,0.05, , , 
31443,0130615,8,135,185,0.81, , , , , , ,0.5,10.6,0.2, ,17.7, , , , , ,0.04, , , 
31444,0130616,1,0,15,4.32, , , , , , ,0.9,6.2,0.1, ,39.9, , , , , ,0.371, , , 
31445,0130616,10,231,259,0.24, , , , , , ,0.5,15.1,0.6, ,18.5, , , , , , , , , 
31446,0130616,2,15,33,2.68, , , , , , ,0.4,8.5,0.1, ,36.2, , , , , ,0.221, , , 
31447,0130616,3,33,48,0.95, , , , , , ,0.5,11.4,0.2, ,30.8, , , , , ,0.096, , , 
31448,0130616,4,48,74,0.41, , , , , , ,0.3,6,0.2, ,17.1, , , , , ,0.04, , , 
31449,0130616,5,74,100,0.27, , , , , , ,0.3,8,0.2, ,16.1, , , , , ,0.029, , , 
31450,0130616,6,100,130,0.65, , , , , , ,0.5,19.9,0.7, ,30, , , , , ,0.051, , , 
31451,0130616,7,130,170,0.3, , , , , , ,0.8,20.1,0.8, ,27.6, , , , , ,0.051, , , 
31452,0130616,8,170,201,0.59, , , , , , ,0.6,18.8,0.9, ,27, , , , , ,0.048, , , 
31453,0130616,9,201,231,0.24, , , , , , ,0.6,18,0.8, ,26.8, , , , , , , , , 
31454,0130617,1,0,20,1.79, , , , , , ,1,2.2,0.1, ,17.6, , , , , ,0.152, , , 
31455,0130617,2,20,34,0.4, , , , , , ,0.3,1.4,0.1, ,9.4, , , , , ,0.046, , , 
31456,0130617,3,34,56,0.24, , , , , , ,0.4,2.9,0.1, ,15.4, , , , , ,0.035, , , 
31457,0130617,4,56,77,0.19, , , , , , ,0.4,3,0.1, ,15, , , , , ,0.031, , , 
31458,0130617,5,77,98,0.17, , , , , , ,0.3,2.9,0.1, ,12.8, , , , , ,0.023, , , 
31459,0130617,6,98,139,0.14, , , , , , ,0.2,2.2,0.1, ,8.3, , , , , ,0.017, , , 
31460,0130617,7,139,174,0.17, , , , , , ,0.3,4.5,0.1, ,12.2, , , , , ,0.017, , , 
31461,0130617,8,174,210,0.15, , , , , , ,0.3,5.1,0.1, ,13.5, , , , , ,0.024, , , 
31462,0130618,1,0,12,4.53, , , , , , ,1.2,7.5,0.1, ,40.3, , , , , ,0.429, , , 
31463,0130618,10,179,214, , , , , , , ,0.9,13.2,0.4, ,25.4, , , , , , , , , 
31464,0130618,11,214,255, , , , , , , ,1.1,17.7,0.5, ,28.5, , , , , , , , , 
31465,0130618,2,12,24,1.96, , , , , , ,0.6,6.6,0.1, ,30.1, , , , , ,0.163, , , 
31466,0130618,3,24,40,1.07, , , , , , ,0.5,8.3,0.1, ,26.9, , , , , ,0.101, , , 
31467,0130618,4,40,65,0.89, , , , , , ,0.6,10.8,0.1, ,27.7, , , , , ,0.101, , , 
31468,0130618,5,65,77,0.71, , , , , , ,0.7,13.5,0.3, ,27.5, , , , , ,0.112, , , 
31469,0130618,6,77,98,0.71, , , , , , ,0.8,14.9,0.4, ,30.3, , , , , ,0.071, , , 
31470,0130618,7,98,110, , , , , , , ,0.7,13.3,0.4, ,25.2, , , , , , , , , 
31471,0130618,8,110,143, , , , , , , ,0.8,15.9,0.6, ,29, , , , , , , , , 
31472,0130618,9,143,179, , , , , , , ,1,18.6,0.6, ,28.6, , , , , , , , , 
31473,0130619,1,0,15,4.59, , , , , , ,0.7,6,0.1, ,41.4, , , , , ,0.421, , , 
31474,0130619,10,220,252, , , , , , , ,0.9,9,0.3, ,27.1, , , , , , , , , 
31475,0130619,11,252,284, , , , , , , ,0.8,7.6,0.3, ,23.1, , , , , , , , , 
31476,0130619,2,15,30,2, , , , , , ,0.6,5.7,0.2, ,29, , , , , ,0.204, , , 
31477,0130619,3,30,48,0.78, , , , , , ,0.5,5.3,0.1, ,21.3, , , , , ,0.081, , , 
31478,0130619,4,48,63,0.82, , , , , , ,0.6,8.7,0.1, ,27, , , , , ,0.112, , , 
31479,0130619,5,63,86,0.78, , , , , , ,0.6,10.2,0.2, ,27.6, , , , , ,0.051, , , 
31480,0130619,6,86,114,0.58, , , , , , ,0.7,10.9,0.2, ,27.9, , , , , ,0.061, , , 
