OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
206,0281541,6,48,100, , , ,8.2, , , , , , , , , , , , , ,0.04, , , 
207,0281846,1,0,5,7.4, , ,8.2, , , , , , , , , , , , , ,0.69, , , 
208,0281846,5,61,100,0.7, , ,8.2, , , , , , , , , , , , , ,0.69, , , 
209,0281848,4,45.5,76,1.09, , ,8.2, , , , , , , , , , , , , ,2.07, , , 
210,0281848,5,76,100,0.98, , ,8.2, , , , , , , , , , , , , ,2.07, , , 
211,0281849,3,45.5,76,1.01, , ,8.2, , , , , , , , , , , , , ,0.44, , , 
212,0282653,6,41,100,0.4, , ,8.2, ,19.6, ,0.1,4.8,0.6, , , , , , , ,0.1, , , 
213,0282654,5,44,100,0.52, , ,8.2, ,18.4, ,0.1,4.6,0.5, , , , , , , ,0.05, , , 
214,0500650,6,41,100,0.4, , ,8.2, , , , , , , , , , , , , , , , , 
215,0500651,5,44,100,0.52, , ,8.2, , , , , , , , , , , , , , , , , 
216,0640003,5,75,95,0.48,5.6, ,8.2, ,74.37, ,0.28,10.21,4.64, ,15.8, , , , , ,0.21, , , 
217,0650001,4,51,150,0.22,8.26, ,8.2, ,8.53, ,0.57,12.34,0.86, ,14.7, , , , , ,0.18,209, , 
218,0660001,6,74,125,0.41,6.50, ,8.2, ,10.88, ,0.50,11.79,0.50, ,15.6, , , , , ,0.59,148, , 
219,0660002,5,92,125,0.34,6.45, ,8.2, ,18.71, ,0.55,13.22,1.43, ,16.0, , , , , ,0.66,184, , 
220,0750004,3,33,100, ,10.0, ,8.2, , , , , , , , , , , , , ,0.16, , , 
221,0750006,6,81,120, ,6.5, ,8.2, , , , , , , , , , , , , ,0.23, , , 
222,0750008,4,46,100, ,8.9, ,8.2, , , , , , , , , , , , , ,0.21, , , 
223,0770003,6,75,130, ,2.54, ,8.2, , , , , , , , , , , , , , , , , 
224,0150172,4,25,43,2.85, ,7.68,8.14, , , , , , , , , , , , , ,1.01, , , 
225,0020118,6,40,60, ,3.5, ,8.1, , , , , , , , , , , , , ,9, , , 
226,0020118,7,60,78, ,4.5, ,8.1, , , , , , , , , , , , , ,9, , , 
227,0020118,8,78,93, ,2.9, ,8.1, , , , , , , , , , , , , ,9, , , 
228,0020294,5,106,140, , , ,8.1, , , , , , , , , , , , , ,9, , , 
229,0020295,5,78,120, , , ,8.1, , , , , , , , , , , , , ,9, , , 
230,0020297,4,61, , ,11.1, ,8.1, , , , , , , , , , , , , ,9, , , 
231,0021258,7,86, , , , ,8.1, , , , , , , , , , , , , ,9, , , 
232,0042708,1,0,14,4.13, , ,8.1, , , , , , , , , , , , , ,0.41, , , 
233,0042710,3,62,77,0.45, , ,8.1, , , , , , , , , , , , , ,0.03, , , 
