"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
43932,"manitoba",1978,49.8251114,-98.7362366,16,FALSE,4.55,TRUE,1011.7252486289,FALSE
43933,"manitoba",1978,49.7938385,-98.3700104,16,FALSE,7.176,TRUE,996.563908038077,FALSE
43934,"manitoba",1978,49.8260689,-98.392807,16,FALSE,6.02,TRUE,994.997682904436,FALSE
43936,"manitoba",1978,49.8521004,-98.7360916,16,FALSE,7.2,TRUE,1009.52168666616,FALSE
43937,"manitoba",1978,49.7671509,-98.3924408,16,FALSE,7.158,TRUE,999.848027837693,FALSE
44070,"manitoba",1980,49.9038506,-98.9967728,16,FALSE,4.466,TRUE,1018.1761617549,FALSE
44072,"manitoba",1980,49.9756584,-98.6900864,16,FALSE,5.4534,TRUE,997.254637761473,FALSE
44159,"manitoba",1981,49.7328796,-98.4636383,16,FALSE,7.266,TRUE,1006.10041085891,FALSE
44160,"manitoba",1981,49.7328796,-98.4643326,16,FALSE,12.7365,TRUE,1006.13373706728,FALSE
44214,"manitoba",1981,49.0125999,-98.1444626,151,FALSE,6.7256,TRUE,1052.49203855314,FALSE
44217,"manitoba",1981,49.045269,-98.1467819,151,FALSE,15.666,TRUE,1049.74951338193,FALSE
44243,"manitoba",1982,50.7994804,-101.300293,16,FALSE,11.808,TRUE,1072.87765271268,FALSE
44244,"manitoba",1982,50.8011589,-101.2556686,16,FALSE,4.944,TRUE,1070.29249784587,FALSE
44255,"manitoba",1983,50.3833389,-99.0170593,16,FALSE,14.524,TRUE,981.412855023658,FALSE
44256,"manitoba",1983,50.4760895,-99.0764923,16,FALSE,9.7182,TRUE,977.322515142535,FALSE
44300,"manitoba",1983,49.158699,-98.5645294,151,FALSE,7.18,TRUE,1059.16421332269,FALSE
44301,"manitoba",1983,49.3262711,-97.8911667,151,FALSE,10.416,TRUE,1013.74702281065,FALSE
44308,"manitoba",1983,49.2995796,-97.9220276,151,FALSE,11.8938,TRUE,1017.46165683438,FALSE
44309,"manitoba",1983,49.2670097,-97.9505081,16,FALSE,11.0852,TRUE,1021.57790180003,FALSE
44311,"manitoba",1983,49.2794189,-97.9403534,151,FALSE,7.134,TRUE,1020.04111417444,FALSE
44314,"manitoba",1983,50.6236305,-101.2782669,16,FALSE,13.7542,TRUE,1083.8149405432,FALSE
44324,"manitoba",1983,49.6797981,-98.3408585,151,FALSE,6.4771,TRUE,1004.64297552991,FALSE
44325,"manitoba",1983,49.7069817,-98.3918076,151,FALSE,13.5953,TRUE,1004.80870775344,FALSE
44335,"manitoba",1983,50.4729614,-100.7126236,151,FALSE,13.839,TRUE,1063.72301085318,FALSE
44336,"manitoba",1984,51.9214516,-101.5099182,151,FALSE,8.5765,TRUE,1013.0100367451,FALSE
44337,"manitoba",1984,51.9283485,-101.4814987,151,FALSE,12.1681,TRUE,1010.95195591174,FALSE
44338,"manitoba",1984,51.9484291,-101.4110031,151,FALSE,14.608,TRUE,1005.67204532907,FALSE
44339,"manitoba",1984,51.9680405,-101.4282227,151,FALSE,16.0584,TRUE,1005.51409595504,FALSE
44346,"manitoba",1984,52.0542793,-101.2756424,16,FALSE,14.7375,TRUE,991.582378925281,FALSE
44349,"manitoba",1984,50.3140907,-97.2980728,16,FALSE,10.6268,TRUE,902.424935693826,FALSE
44350,"manitoba",1984,50.3152809,-97.3744431,16,FALSE,11.8022,TRUE,905.937886172267,FALSE
44351,"manitoba",1984,50.3172302,-97.2372665,16,FALSE,7.8966,TRUE,899.297952980853,FALSE
44352,"manitoba",1984,50.4628906,-97.13591,16,FALSE,8.8128,TRUE,882.427576690936,FALSE
44353,"manitoba",1984,50.477459,-97.1415405,16,FALSE,4.5204,TRUE,881.489989398708,FALSE
44359,"manitoba",1984,49.3768692,-98.806839,151,FALSE,9.2108,TRUE,1052.14576634876,FALSE
44360,"manitoba",1984,49.4793587,-98.6104126,151,FALSE,9.176,TRUE,1034.21369074955,FALSE
44362,"manitoba",1984,49.4195518,-98.6115723,151,FALSE,11.391,TRUE,1039.28238540767,FALSE
44363,"manitoba",1984,49.43993,-98.8776321,151,FALSE,6.05,TRUE,1050.27536829473,FALSE
44368,"manitoba",1984,49.4727592,-98.8758926,151,FALSE,3.48,TRUE,1047.46539574148,FALSE
44369,"manitoba",1985,49.4292717,-98.7066498,16,FALSE,7.9132,TRUE,1042.98612461664,FALSE
44375,"manitoba",1985,49.558651,-98.5268097,16,FALSE,5.4526,TRUE,1023.60571942217,FALSE
44378,"manitoba",1985,49.6740112,-98.7391281,16,FALSE,5.9676,TRUE,1024.23710834252,FALSE
44394,"manitoba",1985,50.2713013,-97.2448578,16,FALSE,10.405,TRUE,903.484373920549,FALSE
44395,"manitoba",1985,50.2199593,-97.2579575,16,FALSE,9.6886,TRUE,908.392266087889,FALSE
54433,"ontario",1960,43.6667099,-80.2831726,25,FALSE,4.4948,TRUE,1468.94557740252,FALSE
54434,"ontario",1960,43.5833817,-80.3998413,25,FALSE,7.9503,TRUE,1474.84581087987,FALSE
54435,"ontario",1960,43.5833817,-80.4165115,25,FALSE,8.3232,TRUE,1474.43433929288,FALSE
54440,"ontario",1962,45.5000496,-75.4496613,25,TRUE,16.34,TRUE,1445.32052441538,FALSE
54511,"ontario",1968,45.4667091,-75.5329971,25,FALSE,5.868,TRUE,1445.08466071433,FALSE
54604,"ontario",1975,43.8139381,-79.3748016,25,FALSE,5.398,TRUE,1477.66748205094,FALSE
54606,"ontario",1975,43.1889381,-79.3914566,25,FALSE,4.224,TRUE,1542.52312457873,FALSE
54608,"ontario",1975,43.1722794,-79.42202,25,FALSE,13.476,TRUE,1543.4430107942,FALSE
54621,"ontario",1975,43.6250381,-80.4165115,15,FALSE,7.956,TRUE,1470.02541442925,FALSE
54624,"ontario",1975,45.3885918,-75.7214127,15,FALSE,6.02,TRUE,1444.91696635496,FALSE
54626,"ontario",1975,45.3717117,-75.7280121,15,FALSE,11.935,TRUE,1446.26419593003,FALSE
54640,"ontario",1975,43.7107201,-80.6007996,15,FALSE,8.502,TRUE,1456.43666028958,FALSE
54648,"ontario",1975,42.9025803,-80.1831894,15,FALSE,6.768,TRUE,1552.30244607183,FALSE
54649,"ontario",1975,42.9080505,-80.1927872,15,FALSE,7.836,TRUE,1551.4875075756,FALSE
54651,"ontario",1975,42.8954086,-80.1878128,15,FALSE,4.83,TRUE,1552.95002443942,FALSE
54653,"ontario",1975,42.8791084,-80.1754227,15,FALSE,9.38,TRUE,1554.98194815731,FALSE
54656,"ontario",1975,42.8652916,-80.1820908,15,FALSE,5.07,TRUE,1556.28455879992,FALSE
54659,"ontario",1975,42.8750992,-80.1807327,15,FALSE,5.376,TRUE,1555.27736074657,FALSE
54685,"ontario",1975,42.0749397,-82.5889206,15,FALSE,4.08,TRUE,1592.19102562325,FALSE
